,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wimbledon Estate,2350000.0,4315500.0,3769500.0,1922304.0,417815.0,1709376.0,3453444.0,480388.0,250000.0,
Pearl Valley At Val De Vie,2733670.0,3788314.0,3598333.0,2772805.0,3023094.0,3347448.0,2598448.0,2701002.0,4395505.0,4874773.0
Heather Park,1188143.0,1204858.0,1251009.0,1222914.0,1332979.0,1586232.0,1435320.0,1708174.0,1851782.0,1770733.0
Ruststasie,,,,,,,,,,
Trekoskraal,,,,,,,,,,
Rawsonville,662700.0,723428.0,736333.0,857668.0,799538.0,717631.0,757720.0,711757.0,904345.0,996250.0
Tulbagh,320839.0,430666.0,472111.0,567828.0,684092.0,416787.0,596388.0,483974.0,501105.0,616875.0
Oakglen,661411.0,704407.0,577258.0,659819.0,727589.0,671771.0,865699.0,998495.0,1141209.0,932229.0
Firlands,,,,,,,,,,
Citrusdal,481810.0,650777.0,538491.0,615863.0,543196.0,630279.0,647934.0,643571.0,855000.0,1175000.0
Leondale,254781.0,245479.0,169142.0,297857.0,385909.0,275000.0,363692.0,560000.0,404000.0,450000.0
Northpine,533481.0,581598.0,497211.0,659464.0,699096.0,661597.0,755359.0,943333.0,993880.0,973888.0
Vredenburg Rural,709666.0,2119423.0,1572615.0,795897.0,2445539.0,1624306.0,782111.0,597666.0,7503260.0,
Tafelsig,195443.0,207662.0,197693.0,203728.0,226685.0,252320.0,269477.0,270426.0,309479.0,314427.0
Langvlei Dunes,,,,,,,,,,
